dp [mm],dB(GainTotal) [],,Freq [GHz]
0.1,9.777436801,,20
0.1,8.773903325,,21
0.3,9.519507119,,20
0.3,10.57882314,,21
0.5,9.727937562,,20
0.5,10.39959161,,21
0.7,9.686313792,,20
0.7,9.808590261,,21
0.9,10.02207177,,20
0.9,10.38800345,,21
1.1,10.21678229,,20
1.1,9.232414285,,21
1.3,10.4082049,,20
1.3,9.722870452,,21
1.5,10.34399346,,20
1.5,10.34296236,,21
1.7,10.36387539,,20
1.7,10.00102122,,21
1.9,10.52482659,,20
1.9,10.83831608,,21
2.1,10.39113919,,20
2.1,10.07602796,,21
2.3,10.35228123,,20
2.3,9.578774058,,21
2.5,10.34021755,,20
2.5,7.77644368,,21
2.7,10.39145371,,20
2.7,4.748115871,,21
2.9,10.36147517,,20
2.9,8.686919175,,21
3.1,10.83638965,,20
3.1,9.087045415,,21
3.3,10.72962281,,20
3.3,9.573033064,,21
3.5,10.62882978,,20
3.5,10.07386755,,21
3.7,9.160572491,,20
3.7,10.19344131,,21
3.9,10.49632599,,20
3.9,9.535035,,21
4.1,9.969743295,,20
4.1,9.557342693,,21
4.3,7.251324933,,20
4.3,8.272691448,,21
4.5,8.207433274,,20
4.5,7.752412747,,21
4.7,10.27472315,,20
4.7,6.385010068,,21
4.9,10.82111621,,20
4.9,0.915937294,,21
5.1,10.88813863,,20
5.1,-3.234446132,,21
5.3,10.32288452,,20
5.3,4.445839034,,21
5.5,10.91421403,,20
5.5,7.441523844,,21
5.7,10.40744553,,20
5.7,8.552437402,,21
5.9,10.2871737,,20
5.9,8.955536376,,21
6.1,6.062452729,,20
6.1,7.681124335,,21
6.3,9.864306965,,20
6.3,8.562497048,,21
6.5,10.37952176,,20
6.5,3.175728646,,21
6.7,10.78522378,,20
6.7,-2.035010234,,21
6.9,11.19134704,,20
6.9,6.468348176,,21
7.1,11.12909098,,20
7.1,7.731953341,,21
7.3,10.90541862,,20
7.3,8.747957171,,21
7.5,11.33001817,,20
7.5,7.953482517,,21
7.7,10.29788025,,20
7.7,8.677897696,,21
7.9,0.513428525,,20
7.9,10.03671454,,21
8.1,6.490657169,,20
8.1,9.561818647,,21
8.3,9.525864724,,20
8.3,10.10104119,,21
8.5,10.30327725,,20
8.5,8.707193379,,21
8.7,11.03696249,,20
8.7,8.767178575,,21
8.9,11.2424219,,20
8.9,8.824071394,,21
9.1,11.47910243,,20
9.1,6.825462364,,21
9.3,11.53235724,,20
9.3,8.210462022,,21
9.5,11.4344246,,20
9.5,6.948301116,,21
9.7,11.356334,,20
9.7,8.280195597,,21
9.9,11.43770643,,20
9.9,8.179420184,,21
10.1,11.59341871,,20
10.1,7.037924399,,21
10.3,11.4849722,,20
10.3,7.86548405,,21
10.5,11.79905352,,20
10.5,5.092770196,,21
10.7,11.8283003,,20
10.7,4.330189338,,21
10.9,11.6443052,,20
10.9,4.841147536,,21
11.1,11.82482345,,20
11.1,5.111863342,,21
11.3,11.54897285,,20
11.3,6.047806434,,21
11.5,11.7816374,,20
11.5,3.940048766,,21
11.7,11.93661243,,20
11.7,4.353011446,,21
11.9,11.845328,,20
11.9,4.909242878,,21
12.1,11.5750688,,20
12.1,4.425756754,,21
12.3,11.30748685,,20
12.3,5.296958348,,21
12.5,10.93597652,,20
12.5,2.339696608,,21
12.7,12.00540101,,20
12.7,-5.473750455,,21
12.9,11.52403504,,20
12.9,0.884887912,,21
13.1,11.37639759,,20
13.1,-5.285551613,,21
13.3,11.94870811,,20
13.3,2.200877807,,21
13.5,10.29848634,,20
13.5,2.54964406,,21
13.7,8.390572355,,20
13.7,3.413691722,,21
13.9,5.170837869,,20
13.9,3.356060486,,21
14.1,5.321025567,,20
14.1,2.814145698,,21
14.3,11.68995143,,20
14.3,-12.21831674,,21
14.5,10.60124443,,20
14.5,-2.214207363,,21
14.7,11.1751419,,20
14.7,-9.291699857,,21
14.9,11.59581721,,20
14.9,-5.388061648,,21
15.1,11.50765426,,20
15.1,-2.190792364,,21
15.3,11.57731166,,20
15.3,-4.524974055,,21
15.5,10.72839953,,20
15.5,-0.684957394,,21
15.7,9.420253931,,20
15.7,-0.044900951,,21
15.9,11.08332024,,20
15.9,-1.327737567,,21
16.1,11.09072617,,20
16.1,-1.779859012,,21
16.3,11.4283798,,20
16.3,-9.279108855,,21
16.5,3.721950679,,20
16.5,1.323179804,,21
16.7,7.312675131,,20
16.7,1.046321771,,21
16.9,10.49452657,,20
16.9,-0.332375192,,21
17.1,11.38854345,,20
17.1,-1.067812314,,21
17.3,11.83173779,,20
17.3,-2.86564737,,21
17.5,11.99860086,,20
17.5,-5.100587344,,21
17.7,12.56818724,,20
17.7,-9.266292994,,21
17.9,12.29178042,,20
17.9,-10.53519685,,21
18.1,12.01764202,,20
18.1,-8.534141958,,21
18.3,12.31449181,,20
18.3,-9.56035808,,21
18.5,12.57315945,,20
18.5,-10.44585377,,21
18.7,12.76595897,,20
18.7,-9.813190787,,21
18.9,12.28560181,,20
18.9,-9.699515088,,21
19.1,12.61919882,,20
19.1,-5.536605569,,21
19.3,12.48345223,,20
19.3,-7.431559479,,21
19.5,12.56789121,,20
19.5,-6.572689561,,21
19.7,12.32012005,,20
19.7,-8.54006685,,21
19.9,12.48788142,,20
19.9,-5.819387906,,21
20,12.38221184,,20
20,-10.84223508,,21
